,client,title,pos_review,neg_review,nationality,score,travel_type,room_type,date_review
0,Sandra,Excepcional,Restaurante cena,,España,10,En pareja,Habitación Familiar Deluxe,27/04/2023
1,Augustbou,Muy bien,"Ubicación, aparcamiento, amabilidad del personal.
Desayuno correcto.","No es un hotel con magníficas instalaciones, es limpio y acogedor",España,"8,0",En pareja,Habitación Doble Deluxe,26/04/2023
2,Jeep,Muy bien,Tamaño de habitacion,Wi-fi colapsada,España,"8,0",En pareja,Habitación Doble Deluxe,24/04/2023
3,Carles,Fantástico,Todo,A la ducha de nuestra habitación le faltaba presión,España,"9,0",En familia,Habitación Cuádruple Deluxe,23/04/2023
4,Miguel,Excepcional,Nos gustó todo en general fabuloso,Ok,España,10,En familia,Habitación Cuádruple Deluxe,22/04/2023
5,Sara,Muy bien,Ubicación,Nada,España,"8,0",En grupo,Habitación Cuádruple Estándar,22/04/2023
6,Miguel,Muy bien,En el centro y parking,Hacía mucho calor y no pudimos bajar la calefacción,España,"8,0",En familia,Habitación Cuádruple Estándar,11/04/2023
7,Jose,RELAX,"BUENOS DIAS ,TENER APARCAMIENTO EN EL HOTEL","NO ES QUE NO ME GUSTARA ,PERO ESPERABA MAS DEL DESAYUNO PORQUE SON 12,50 EUROS POR PERSONA Y UNA FAMILIA 4 PERSONAS 50 EUROS LO VEO EXCESIVO PARA LA VARIEDAD, Y 4 DIAS 200 EUROS DESAYUNAR . UFFF",España,"8,0",En familia,Habitación Cuádruple Estándar,11/04/2023
8,Carla,Para repetir,El trato del personal fue muy agradable y la habitación muy bonita y limpia.,Nada malo.,España,10,En pareja,Habitación Doble - 1 o 2 camas,11/04/2023
9,Alicia,Un gran hotel,"El hotel está muy ubicado. Es elegante y moderno, la habitación muy grande y cómoda. El personal muy amable.","Nada, todo es genial",España,10,En pareja,Habitación Doble - 1 o 2 camas,10/04/2023
10,Conchi,fantastica,"Nos encanto que la habitación cuádruple estuviese en dos espacios independientes con su propia televisión y baño, las camas muy cómodas y la media pensión de lujo,además muy cerca de la zona comercial.","por decir algo el tema de los baños está un poco dejado, limpio pero necesitaría un poco de reforma , por el resto genial",España,"9,0",En familia,Habitación Cuádruple Estándar,10/04/2023
11,Meritxell,Bien. Muy buena ubicación,La habitación,Pocas zonas comunes,España,"8,0",En familia,Habitación Cuádruple Deluxe,10/04/2023
12,Rodrigo,Muy bien todo en general,"Ubicación
Desayuno
Limpieza
Habitación",,España,"9,0",En pareja,Habitación Triple,10/04/2023
13,Merce,Finde increíble en familia,"La ubicación,  el tamaño de la habitación y como estaba distribuida",,España,10,En familia,Habitación Cuádruple Estándar,10/04/2023
14,Esther,Excepcional,"Encantada, volveré, las cenas maravillosas y el personal muy agradable.",,España,10,En familia,Habitación Cuádruple Estándar,9/04/2023
15,Emilio,hotel cerca de la calle principal de Andorra ideal para familia con hijos.,La habitación es amplia con dos zonas para dormir separadas y dos baños.,El desayuno,España,"8,0",En familia,Habitación Triple,9/04/2023
16,Quecisa,Gran hotel para familias en Andorra,"La habitación era muy amplia y confortable.
Mención especial para el restaurante, teníamos media pensión y tanto el desayuno como la cena fueron formidables. Además su personal se desvive por ayudar.",Todo ok,España,10,En familia,Habitación Cuádruple Deluxe,8/04/2023
17,Ignasi,Excepcional,"El servicio del hotel inmegorable
Buena ubicacion cerca del centro
Habitacion grande y cama muy comoda",,España,10,En pareja,Habitación Doble - 1 o 2 camas,7/04/2023
18,Rose,Hotel muy confortable,"La habitación amplia, cama cómoda, desayuno muy bueno y personal muy amable.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,7/04/2023
19,Imma,Fantástico,"Es muy espacioso y está genial disponer de dos habitaciones y dos baños, así aunque compartas con los niños tienes cierta independencia.
Buen desayuno y servicio muy agradable.
Tocando a la zona comercial.
Parking bastante ancho y fácil de acceder.",Antes de hacer el check out quisimos volver a la habitación y como vieron que no había maletas la habían lavado y no pudimos entrar,España,"9,0",En familia,Habitación Cuádruple Estándar,6/04/2023
20,Paula,Agradable,Lo cerca que estaba del parking,La tarjeta para abrir la puerta no funcionaba bien,España,"8,0",En pareja,Habitación Doble Deluxe,6/04/2023
21,Laura,correcto,el desayuno. muy bueno y completo,detalles descuidados de la habitación,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,3/04/2023
22,Eduardo,nuena,en general todo,Parking coste elevado,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,29/03/2023
23,David,Estancia inmejorable,"La ubicación del hotel es excelente en pleno centro de escaldes. El precio de los más bajos para un 4 estrellas por esa zona. Pero lo que realmente marca la diferencia es el servicio de restauración que ofrecen, no sólo no es un buffet como la mayoría, sino que la media pensión es a la carta y ofrecen una carta muy variada, con productos de mucha calidad y una cocina excelente. El servicio también es excepcional. La verdad fue una sorpresa contratar una media pensión y encontrarnos ese nivel de servicio, se agradece no tener que pasarte toda la cena levantándote a por la comida. Se ha convertido en nuestro hotel en Andorra para futuros viajes.",,España,10,En familia,Habitación Cuádruple Estándar,27/03/2023
24,Anna,Relajante,"Es espectacular la amplitud de la habitación, con dos baños y dos estancias diferentes. La ubicación excelente, muy céntrico, el desayuno muy completo y el personal muy eficiente, hicieron un juego de magia a mi hijo pequeño que le encantó.",,España,10,En familia,Habitación Cuádruple Deluxe,27/03/2023
25,Laia,Excepcional,El servicio con booking,,España,10,En pareja,Habitación Familiar,27/03/2023
26,Ana,Excelente,"El alto nivel del CHEF y servicio de restaurant fue lo que más nos gustó, la amabilidad del equipo de recepción excelente, siempre atentos con gran profesionalidad y amabilidad , por supuesto volveremos a dormir en esas amplias y cómodas camas, frescor y buen olor en sábanas y todos sus complementos ...",No hubo nada que alterara nuestra estancia.,España,10,En familia,Habitación Cuádruple Estándar,25/03/2023
27,Nuria,Escapada familiar,"Fantástica ubicación, dispone de parking, habitaciones amplias",Hacía calor en la habitación,España,10,En familia,Habitación Familiar,24/03/2023
28,Estefania,¡Estancia estupenda!,"El staff fue muy amable y permitieron a mis padres realizar el check-in antes de la hora pactada sin ningún coste adicional. No es la primera vez que reservamos en este alojamiento y, como es usual, la estancia ha sido agradable y correcta para un fin de semana en Andorra. La ubicación es muy buena, el parking no muy espacioso (aunque suelen ser pequeños y estrechos en general) y recibieron una habitación tranquila. La cama muy cómoda y la habitación de un buen tamaño.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,24/03/2023
29,Jaime,Muy bien,"localización, tamaño de las habitaciones y restaurante",.,España,"8,0",En familia,Habitación Cuádruple Estándar,23/03/2023
30,Raul,Muy bien,La ubicación perfecta en el centro de Escaldes. Habitación es grande los niños lo pasaron genial,"Los acabados, se ve mucho desgaste, suelo laminado por ejemplo. La iluminación de los baños para verte en el espejo muy mal, para afeitarse o maquillarse.
Los focos te quedan por detrás.",España,"8,0",En familia,Habitación Cuádruple Estándar,22/03/2023
31,Nuria,Escapada en familia,Ubicación muy buena y dispone de parking. El personal muy amable,Por poner algo hacía calor en la habitación,España,10,En grupo,Habitación Familiar,22/03/2023
32,Isabel,Excepcional,El espacio. La ubicación i la comida,"El parquing caro i lleno
Lentos a la hora de servir la comida entre plato i plato",España,10,En pareja,Habitación Cuádruple Deluxe,19/03/2023
33,David,muy bien,"conexión wifi , no funciona correctamente",,España,"8,0",En familia,Habitación Familiar Deluxe,18/03/2023
34,Juan,Muy bien,"Ubicación, tamaño habitación, ...","Pedí parking en una reserva con 2 meses de antelación, y me dijeron que no había",España,"8,0",En familia,Habitación Cuádruple Estándar,14/03/2023
35,Nuria,Muy bien,"cama, habitación, limpieza, ubicación",desayuno,España,"8,0",En familia,Habitación Triple,14/03/2023
36,Carlos,Excepcional,La ubicación y las habitaciones. Todo muy nuevo.,Demasiado calor en las habitaciones.,España,10,En familia,Habitación Cuádruple Deluxe,12/03/2023
37,Josep,Muy buena experiencia en el centro de Escaldes,"La habitación, era enorme y con todos los servicios más modernos . Buen desayuno y atención del personal. 
Repetiremos",nada,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,10/03/2023
38,Carlos,Excepcional,"Restaurante, personal , habitación",,España,10,En familia,Habitación Cuádruple Deluxe,8/03/2023
39,Alekseev,Excepcional,"ubicación, amplitud de las habitaciones!",,España,10,En familia,Habitación Triple,7/03/2023
40,Trini,Fantástico,Una habitación  muy amplia y cómoda y muy buena ubicación,"La habitación necesita alguna reforma, el Parquet y el mobiliario  muy estropeado",España,"9,0",En grupo,Habitación Cuádruple Estándar,6/03/2023
41,Miguel,Hotel correcto por calidad-precio en Andorra.,"En mi caso tuve una habitación enorme y muy tranquila. El desayuno era muy bueno,  aunque no tenía mucha variedad la parte de la bollería y el pan recién hecho eran increibles. El restaurante del hotel también era de buena calidad con buena relación calidad-precio.
En mi caso no tuve problemas con el parking que había leido previamente otras críticas. Aunque considero que 20€ cada día es caro , pero todos los hoteles de Andorra tienen ese precio",Es un hotel catalogado como de 4 estrellas y quizás es un poco justo para 4 estrellas. Es un hotel antiguo parcialmente renovado. Criticaría el precio porque es muy caro para un hotel de su categoría pero la verdad es que comparando con el resto de hoteles de Andorra y la calidad-precio pués la verdad es que está bien. Criticaría los precios de todos los hoteles en general de Europa y gran parte del mundo que en el último año han subido de una manera desorbitada.,España,"8,0",Persona que viaja sola,Habitación Individual,6/03/2023
42,Marta,Excepcional,"En general todo,estaba limpio que para mi la limpieza  es importante y la cena muy buena y el desayuno perfecto mucha variedad",Yo busque un hotel céntrico para no tener que coger el coche para pasear por la calle centrica e ir a caldea y cuando llegamos al hotel nos dicen que el parking esta lleno tardemos 40 min en encontrar parking un sabado alas 19:00,España,10,En grupo,Habitación Cuádruple Deluxe,6/03/2023
43,Jose,Fantástico,Todo. Las instalaciones están muy bien y la cena excelente. El desayuno también muy bien.,,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,5/03/2023
44,Antonio,Excepcional,Todo en general,,España,10,En pareja,Habitación Doble - 1 o 2 camas,2/03/2023
45,Jose,Fantástico,"el trato del personal del restaurante, fue excelente. A destacar el encargado Sr. Joao. 
Aunque todo el equipo es muy atento y profesional.","lamentablemente, nos tocó una habitación que estaba pendiente de renovar, teniendo en cuenta que nos dijeron que la mayoría estaban acabadas de serlo. No obstante, si era muy cómoda, espaciosa y estaba muy limpia.",España,"9,0",En familia,Habitación Cuádruple Estándar,1/03/2023
46,Vicente,Fantástico,El hotel en general muy bien. El personal del restaurante es extraordinario (TODOS). La carta del restaurante está muy conseguida. Muchas gracias a todo el personal por su atención. Para repetir sin duda.,,España,"9,0",En familia,Habitación Familiar,28/02/2023
47,Sorin,Excepcional,Personal,Las camas,España,10,En pareja,Habitación Cuádruple Estándar,27/02/2023
48,Acedo,Muy bien,"La amplitud de la habitación, la ubicación",La limpieza en algunas camas,España,"8,0",En grupo,Habitación Doble Deluxe,26/02/2023
49,Bill,Buena experiencia. Recomendable.,"La habitacion. Son grandes y comodas.
Si restaurante y el trato de Joao.","Quizá y como critica constructiva, le falta una especie de zona tipo bar mas ambientada, donde te puedas tomar algo con musica y algo de entretenimiento. Pero tiene un salon habilitado para sentarse, con mesas y una television.",España,10,En familia,Habitación Triple,26/02/2023
50,Lidia,Fantástico,"Ubicación muy buena. El desayuno muy bueno,.La cena ala carta buenisima",,España,"9,0",En familia,Habitación Triple,25/02/2023
51,Rosa,Buena elección para pasar unos días en Andorra La Vella,"Ubicación. 
Habitación familiar grande, espaciosa y con dos baños.",Pequeños detalles de mejora en mantenimiento y renovación de mobiliario.,España,"8,0",En grupo,Habitación Cuádruple Estándar,24/02/2023
52,Berta,Muy bien,Pasamos demasiado calor por las noches,,España,"8,0",En familia,Habitación Cuádruple Estándar,23/02/2023
53,Luis,Todo perfecto,"Excelente hotel. 
Lástima no sea algo más económico.",Precio,España,10,En pareja,Habitación Doble Deluxe,23/02/2023
54,Jordi,Sin duda repetiré,"Instalaciones amplias, limpias y con ambiente muy agradable. El personal muy amable.",Todo Bien.,España,"9,0",Persona que viaja sola,Habitación Doble - 1 o 2 camas,23/02/2023
55,Eduardo,Fantástico,"El trato familiar, la ubicación y el servicio en el comedor. Todo facilidades",Me gustó todo,España,"9,0",En familia,Habitación Cuádruple Deluxe,22/02/2023
56,Albert,Se podria mejorar distribucion habitacion,Zona donde estaba ubicado,Hubiese estdo bien que las 2 camas hubiesen sido de matrimonio y no una litera y una de matrimonio,España,"9,0",En grupo,Habitación Cuádruple Estándar,22/02/2023
57,Alvaro_lopez,Muy bien,"Habitación cuádruple muy grande, con doble baño. Ideal para familias.",El parking es muy pequeño y problemático para coches grandes.,España,"8,0",En grupo,Habitación Cuádruple Estándar,20/02/2023
58,Jose,Buen hotel,El tamaño de la habitación,Todo bien,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,20/02/2023
59,Jose,Volveremos,Personal del restaurante extremadamente educado y simpático. No es la primera vez que vamos ni será la última.,"creo que el parking debería de tener la posibilidad de reservarse a la vez que la habitación, te puedes encontrar con que llegas al hotel y no hay sitio, como nos pasó, una pena !",España,10,En familia,Habitación Triple,19/02/2023
60,Ursula,Perfecto,"La ubicación, comodidad, todo limpio, y habitaciones renovadas.",Nada,España,10,En grupo,Habitación Familiar,19/02/2023
61,Lidia,Excepcional,todo,,España,10,En pareja,Habitación Doble - 1 o 2 camas,16/02/2023
62,Analia,Excelente estadia!,"Habitación muy comoda y limpia.
Excelente atención del personal de comedor, en especial Muriel.
El regimen de media pension, muy bueno, la comida exquisita.",Podrían mejorar el check in es un poco lento.,Argentina,"9,0",En familia,Habitación Familiar Deluxe,15/02/2023
63,Maryana,Excepcional,"El desayuno muy bueno, todo fresco. Los camareros muy amables y atentos!
La habitación muy acogedora.
La luz de la habitación mencanto, cuando te despiertas y pones la luz no te deslbra. Esta muy bien pensada la instalacion.","Las camas un poco incomodas y duras.
El parking enano, para entrar con mucho cuidado y dar la vuelta al coche hay que hacer milagros. Muy estrechos los pasillos.",España,10,En familia,Habitación Cuádruple Deluxe,14/02/2023
64,Paulo,excelente,todo en general,nada que decir…,España,10,En pareja,Habitación Doble - 1 o 2 camas,13/02/2023
65,María,"Sin ninguna duda, repetiré.",La amplitud de la estancia y el buen trato de los trabajadores.,,España,10,En pareja,Habitación Doble Deluxe,12/02/2023
66,Diana,100% recomendable,"todo perfecto, ubicación, desayuno, atención, todo 👌",,España,10,En grupo,Habitación Familiar Deluxe,9/02/2023
67,Angel,Muy bien,"la habitación es muy grande, la cama principal tambien","no me guardaron parquing ninguno de los dos días y lo pedí.
la cisterna hacía ruido constante.",España,"8,0",En familia,Habitación Cuádruple Estándar,9/02/2023
68,Tamara,Fantástico,Habitación muy amplia y cómoda.,,España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,7/02/2023
69,Cristina,Fantástico,Desayuno buenisimo,,España,"9,0",En familia,Habitación Cuádruple Deluxe,6/02/2023
70,Mark,Muy bien,La habitación es enorme,"Parking pequeño y pocas plazas, tenemos un Nissan QQ",España,"8,0",En pareja,Habitación Doble Deluxe,6/02/2023
71,Neus,Muy buen alojamiento,"Habitación grande y bonita 
Todo muy limpio
Buena ubicación","Todo correcto
No hay nada que no me gustara
Volveremos sin duda",España,10,En familia,Habitación Cuádruple Estándar,5/02/2023
72,Anna,Buen hotel,"La ubicación, la limpieza, la habitacion àmplia y la ducha.","Cada dia teniamos que hacer las camas de las literas, poner el nordico.
El desayuno flojo y los zumos són inbebibles.",España,"8,0",En grupo,Habitación Cuádruple Deluxe,5/02/2023
73,Oriol,Muy bien,Ubicacion,,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,3/02/2023
74,Gaston,Fantástico,"Muy buena ubicación, desayuno muy completo",,España,"9,0",En familia,Habitación Cuádruple Estándar,2/02/2023
75,Monica,Una habitación cuadruple brutal!,"Lo grande y bien mantenida que estaba la habitación. Es tan grande que parece un piso! Muebles modernos y cuadros de fotografias de Andorra muy bonitas (nada horteras como en muchos hoteles. Agua y zumos gratis en el mini bar a la llegada! Aunque el agua del grifo de Andorra es fenomenal! Calentador de agua y infusiones en la habitación! Agua en la recepción y algun minicroissant! Habitaciones cuadriples gigantes!! con 2 lavabos completos, literas y 2 smarthTV!! Feliz porque normalmente las habitaciones triples o cuatriples son con sofás cama, pero en este hotel son una literas espaciosas modernas y bonitas. La cama de matrimonio muy grande y con colchon de calidad. Hasta las almohadas eran geniales (yo lo paso fatal con las almohadas de los hoteles que suelen estar muy aplastadas del uso). La habitación tenía 2 super wc completos con ducha los 2 y gel, champu, body milk y gel de manos. Wifi gratis! Armarios super grandes. Sofa de 3 plazas muy nuevo y mucho espacio libre. Cortinas de foscurit de calidad, bonitas y modernas!! La verdad es que esperaba que lloviera para quedarme un buen rato en la habitación! Habia hasta un aro de luz para selfies e Instagramers! Un flipe! Limpieza 10!!
Desayuno muy bueno! Mesas grandes para familias. Las pastas estàn buenisimas! el pan muy bueno y gran variedad para los pequeños. Café de cápsula!!! un lujo!!!! Tomamos algo en la cafeteria y muy bien, muy agradable y las raciones de patatas chips gigantes! Paquing muy bien. Genial para cargar y descargar con ascensor directo a las habitaciones.
Parquing público muy cerca y barato. 
Zona super céntrica y tranquila pero a 2 min de tiendas y restaurantea buenisimos.y variados alrededor.
Personal muy profesional atento y simpático! sin duda volveremos!!! De todos los hoteles que he estado en Andorra (voy 4 veces al años en invierno y en verano)  todos de 4*, es el mejor de todos!!!
A partir de ahora será nuestro hotel!",No hubo nada que no me gustara. La verdad es que flipé bastante. No me esperaba que estuviera tan bien. Sólo que logicamente al ser un hotel céntrico no tiene buenas vistas.,España,10,En familia,Habitación Triple,2/02/2023
76,Maria,muy buena,muy linda habitación y muy bien ubicado,un poco caro,España,10,En familia,Habitación Cuádruple Deluxe,1/02/2023
77,Umaima,Excepcional,muy amplio limpio tranquilo muy amables todo excelente,,España,10,En familia,Habitación Familiar,1/02/2023
78,Brenda,Fantástico,"Todo desde la habitación , la zona y la limpieza y el restaurante",El parking,España,"9,0",En pareja,Habitación Cuádruple Estándar,31/01/2023
79,Maria,Excepcional,"Ubicación.
Limpieza.
Calefacción.","Colchones muy blandos.
Elevado precio desayuno.",España,10,En familia,Habitación Cuádruple Estándar,31/01/2023
80,Etha,Excepcional,todo,,Francia,10,En pareja,Habitación Doble - 1 o 2 camas,31/01/2023
81,David,Muy bien,"La ubicación es muy buena, la habitación muy grande, con espacio separado para los niños con su baño propio. La cama muy grande y colchones muy comodos. En general todo perfecto.",La temperatura para mi gusto muy elevada aún apagando la calefacción estaba a 23 grados.,España,"8,0",En familia,Habitación Cuádruple Deluxe,30/01/2023
82,Sanchez,buen servicio y sobre todo buenísima comida,mucho,,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,29/01/2023
83,Marisa,Estancia perfecta,"Hotel céntrico, habitación amplia, restauración muy buena, la atención por parte del personal sobre todo del comedor extraordinaria. Siempre que vamos apostamos por este hotel y no nos defrauda. Sin duda volveremos.",,España,10,En pareja,Habitación Doble - 1 o 2 camas,29/01/2023
84,Carlos,excelente alojamiento con un trato exquisito. Recomendable 100%,"personal, decoración funcional con amplias habitaciones",plazas de parking limitadas aunque dispones de varios aparcamientos públicos muy cercanos,España,10,Persona que viaja sola,Habitación Doble - 1 o 2 camas,28/01/2023
85,Iván,Excepcional,"habitación grande, moderna y limpia",,España,10,En grupo,Habitación Doble - 1 o 2 camas,28/01/2023
86,Alex,Espacio ideal para descanso en familia,confort habitación y la atención del servicio,nada en concreto,España,10,En familia,Habitación Triple,27/01/2023
87,Carlos,de 10,todo,nada,España,10,En grupo,Habitación Cuádruple Deluxe,26/01/2023
88,José,Fabuloso volveremos,"La  habitación super grande, con dos estancias separadas  con 1 baño individual cada una, Tv de 52 pulgadas la habitación principal y otra más pequeña en la otra habitación. Cojimos media pensión con cena. La comida tanto desayuno como cena muy bien sobre todo la cena. La bebida va aparte incluso el agua. Tanto el personal de recepción como restaurante amables y dispuestos. 
La situación si bien no está en el mismo centro es muy buena a 5 minutos de la calle principal.",Por poner algo  que el parking son 20€ diarios.,España,"8,0",En familia,Habitación Triple,26/01/2023
89,Luis,Fantástico,"Está en una ubicación céntrica que permite visitar la ciudad a pie cómodamente. Muy recomendable para familias: Habitación grande con dos dormitorios (cama grande y litera), y dos baños. El hotel está cuidado y su personal es amable y atento. El desayuno y la cena están genial. Aunque posee parking propio, en caso de no quedar plazas libres, está muy cercano a otros parkings.",,España,"9,0",En familia,Habitación Cuádruple Deluxe,26/01/2023
90,Fatimajm,"Cómodo
Habitación amplia",Habitación enorme. Camas muy cómodas. Ubicación. Cena excelente.,No tener parking,España,10,En familia,Habitación Cuádruple Estándar,26/01/2023
91,Maurizio,Ideal para viajar en familia,"Hotel céntrico, personal muy amable,  habitaciones familiares muy grandes. Camas muy comodas, temperatura de la habitación muy confortable  Ideal para viajar en familia.",,España,10,En grupo,Habitación Cuádruple Deluxe,22/01/2023
92,M,Lo recomiendo. un acierto en todo,Bien situado. habitacion muy grande. muy amables,,España,10,En familia,Habitación Cuádruple Estándar,22/01/2023
93,Blanca,Amplia habitación para familias numerosas,"Poder estar todos en la misma habitación, era espaciosa y estaba muy bien","La habitación olía mucho a tabaco, una de las duchas se alía el agua y en la otra no funcionaba del todo.",España,"8,0",En familia,Habitación Familiar Deluxe,20/01/2023
94,Beatriz,buena calidad - precio,Habitación grande y espaciosa,,España,10,En pareja,Habitación Doble - 1 o 2 camas,19/01/2023
95,Eduardo,muy buena,Ubicación,no aplica,España,10,En pareja,Habitación Doble - 1 o 2 camas,19/01/2023
96,Buitre,Muy bien,Ubicacion,Que me dieron una habitacion un poco vieja yo ya habia estado en otra ocasion y la habitacion era mas nueva.,España,"8,0",En pareja,Habitación Doble - 1 o 2 camas,18/01/2023
97,Joaquim,excelente hotel,"habitación grande y confortable, el trato del personal excelente",,España,"9,0",En familia,Habitación Cuádruple Estándar,18/01/2023
98,Vicente,Muy bien,"La ubicacion fenomenal muy centrico cerca de todas las tiendas y restaurants,,el desayuno muy bueno y tuvieron una atencion muy bonita pues era nuestra luna de miel y nos subieron una botella de cava .muy bonito gesto.","La tele no iba bien,no funcionaba el aire ni la calefaccion,le dijimos a la camarera que nos subio la botella de cava y nos dijo que avisaria a mantenimiento
En nuestra estancia de 3 dias no vino nadie a revisarlo",España,"8,0",En pareja,Habitación Doble Deluxe,14/01/2023
99,Noelia,Genial,Habitación familiar,Nada,España,"9,0",En familia,Habitación Cuádruple Estándar,13/01/2023
100,Lorena,Fantástico,"Excelente ubicación, habitación muy amplia y cómoda y personal muy atento y amable.",,España,"9,0",En familia,Habitación Triple,11/01/2023
101,Eva,Muy buena opcion,"Buena ubicación
Personal muy amable
Habitaciones muy espaciosas
Comedor buena calidad",En general todo bastante bien,España,"8,0",En pareja,Habitación Cuádruple Estándar,11/01/2023
102,Joan,muy bueno,"increible, atencion del
personal, limpieza, ubicación.",nada,España,10,En familia,Habitación Cuádruple Deluxe,11/01/2023
103,Lsg98,Fantástico,"La habitación era enorme, la cama muy cómoda y el desayuno tenía mermeladas caseras riquísimas.","El parquing del hotel estaba lleno cuando llegamos, para la capacidad que tiene deberían tener un parquing más grande.",España,"9,0",En pareja,Habitación Doble - 1 o 2 camas,9/01/2023
104,Eva,Excepcional,"Es un hotel genial, las camas comodisimas, la cena de la media pensión es de lujo y el desayuno muy bueno.
La ubicación es perfecta y el plus de tener parquing.",,España,10,En familia,Habitación Cuádruple Estándar,9/01/2023
105,Maria,Fantástico,"Atención del personal, ubicación y limpieza. Todo excelente.",,España,"9,0",En familia,Habitación Cuádruple Estándar,9/01/2023
106,Sánchez,Muy bien,Habitacion muy espaciosa y comoda,"El restaurante siempre es la misma carta no varia , no hay mas opciones .Poca verdura",España,"8,0",En familia,Habitación Cuádruple Estándar,9/01/2023
107,Doris,BUENA UBICACIÓN,Muy cómodo y tenía dos aseos,"Uno de los aseos tenía un olor
desagradable, cañería vieja .",Puerto Rico,"8,0",En familia,Habitación Cuádruple Estándar,8/01/2023
108,Tomas,Excepcional,"Todo muy bien, se puede repetir.","Que fue ñoco tiempo, para disfrutar más ➕",Marruecos,10,En grupo,Habitación Cuádruple Deluxe,8/01/2023
109,Juan,Excepcional,Todo en general.,Bien.,España,10,En familia,Habitación Cuádruple Estándar,6/01/2023
110,Ruben,Excepcional,perfecto,,España,10,En familia,Habitación Triple,6/01/2023
111,Alicia,Fantástico,La amplitud de las habitaciones y que teníamos dos baños,Se oía mucho a los vecinos de al lado.,España,"9,0",En familia,Habitación Cuádruple Deluxe,5/01/2023
